#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
ENSRNOT00000074429,LOC100912537,2.36e-06,2.2367217999999998
NM_001108524,Aldh18a1,6.3e-05,2.9021955000000004
NM_080782,Cdkn1a,0.002595064,5.619328
ENSRNOT00000017748,AABR06100250.1,5.05e-06,3.7032599999999998
NM_001107623,Tmem26,0.000229065,2.4651517999999997
NM_017110,Cartpt,1.0300000000000001e-07,309.7864517
NM_001108547,Ect2,3.21e-06,19.619471
NM_001127524,Nceh1,0.00024172,2.3590856
ENSRNOT00000026514,Smg5,0.004935033,2.2011353
NM_001191568,Pmf1,0.00025417,3.4449906
NM_013414,Bglap,0.001864231,5.4418893
NM_001024979,Gpatch4,5.2e-06,3.2377474
NM_001191709,Iqgap3,0.00016665200000000002,3.6679495
NM_001001508,Plppr4,0.033979218,2.3266949
ENSRNOT00000021988,Frrs1,0.015933226,2.1399612
NM_001025688,Palmd,0.000365282,5.787065599999999
NM_013057,F3,0.000384619,4.9252814
ENSRNOT00000014695,Zgrf1,0.04717877,2.2522423
ENSRNOT00000035843,AABR06020571.1,0.0006432440000000001,2.3513677000000004
NM_001012084,Adh6,2.58e-06,7.8967525
NM_138710,Dab2ip,9.8e-07,89.6405155
NM_001107842,Golga1,0.019147731,2.0895978
NM_001106572,Olfml2a,0.034752425,2.1098402999999997
NM_001144862,LOC691083,0.0005749969999999999,5.2830238
NM_001107782,Btbd3,0.000587512,6.439039900000001
NM_001025768,Dsn1,7.31e-07,4.1753517
NM_001172118,Sla2,1.32e-05,3.5564497999999998
NM_001047111,Dbndd2,0.005446365999999999,3.0764069
NM_001106539,Matn4,0.00027832,4.4622526
NM_001108604,Rbpjl,5.18e-05,2.9264367
NM_012649,Sdc4,0.000768657,2.5931987999999997
NM_001008872,Slpil2,0.006175717,2.3452281000000004
NM_214459,Phactr3,3.3e-06,75.0351555
NM_022267,Ccnd2,5.14e-05,3.0128787
ENSRNOT00000026796,Dyrk4,0.00045459300000000004,2.7560683999999998
NM_001079711,Rad51ap1,3.5899999999999997e-07,13.735890099999999
NM_001048075,Clec2g,0.004823308,2.19725
NM_080579,Gpr19,0.000429066,2.3452051
NM_080579,Gpr19,0.000429066,2.3452051
NM_013089,Gys2,2.9199999999999998e-05,2.3175293
ENSRNOT00000059627,Ptpn3,0.000173522,2.0483236000000002
ENSRNOT00000011962,Foxd3,0.048237917000000005,2.0248369
NM_199253,Pcsk9,1.04e-05,11.284816900000001
NM_001191612,Zfp362,2.3199999999999998e-05,2.695174
NM_138524,A3galt2,0.000648006,3.6091976999999997
NM_012554,Eno1,0.003082256,2.6914392000000005
NM_001170568,Baz1a,0.001062625,2.1775213
NM_001039325,Zdhhc22,2.38e-06,14.1635802
NM_001012470,Irf2bpl,0.000313841,2.1749352
NM_001108051,Slc24a4,0.034044575,4.9071804000000006
NM_001109672,Ccnk,0.0040956790000000005,2.2310708999999997
NM_053744,Dlk1,0.000224086,2.0827880000000003
NM_017210,Dio3,0.000286654,2.5996987000000003
NM_001108061,Amn,0.0005418140000000001,2.0015633000000004
NM_001108724,Traf3,0.005127151,2.4580314999999997
ENSRNOT00000018225,INF2,0.0016315120000000001,2.5290746
ENSRNOT00000039631,Ahnak2,0.017867373,2.0192172
NM_001126288,Pld4,0.00074775,4.9529416
NM_001108085,Cradd,0.0010809580000000001,2.1391035
