#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
ENSRNOT00000019210,Col24a1,3.16e-05,2.0571526999999996
NM_001107450,Clca5,3.03e-07,14.269552599999999
NM_001107738,Ssfa2,1e-07,5.2440335
ENSRNOT00000057878,AABR06024301.1,0.000537423,2.0056653000000004
NM_001012089,Dusp2,8.170000000000001e-05,3.5914328999999996
NM_138505,Adra2b,0.000120381,2.6941341
NM_001048075,Clec2g,1.27e-06,4.4320917
NM_001134716,Clec12a,1.52e-06,4.881302400000001
NM_134327,Cd69,0.00043805300000000004,2.7905976000000003
NM_030837,Slc21a4,0.0014748839999999999,2.5458441
NM_030986,Ak2,4.27e-10,2.9691818
ENSRNOT00000071046,AABR06041849.1,2.45e-06,2.4548455000000002
NM_001109460,Stx19,5.98e-06,2.0001743999999997
NM_031086,Pros1,4.14e-06,2.764523
ENSRNOT00000059532,RGD1560034,0.004652289,2.4947527000000003
NM_017159,Hal,1.39e-06,4.4025593
NM_001128494,Lyc2,8.34e-06,4.1730147
NM_012771,Lyz2,1.22e-05,6.1385053
NM_001007752,Mns1,1.01e-05,2.1764935000000003
NM_001191080,Golga4,4.06e-06,2.0036723000000003
NM_001106886,RGD1565959,0.000629068,4.3631697
NM_001108788,Foxp4,4.07e-05,3.3573263999999994
ENSRNOT00000017592,LOC100361830,0.000531143,2.5021606
NM_001287025,Gsta3,0.000101601,4.4303102999999995
NM_001122658,Fam178b,0.0077104669999999995,2.1684977
NM_053586,Cox5b,1.19e-06,2.2627701
NM_001195482,LOC690871,2.47e-06,2.6985006
NM_001012145,Hgd,2.23e-06,3.6969513999999997
NM_053348,Fetub,6.34e-08,2.9993507
NM_133428,Hrg,7e-12,46.024908200000006
ENSRNOT00000072303,RGD1559588,1.3800000000000002e-05,2.5268379000000003
ENSRNOT00000073627,AABR06070872.1,1.6899999999999997e-05,3.0570467999999997
ENSRNOT00000064718,AABR06070882.1,1.9399999999999997e-05,2.9533525000000003
ENSRNOT00000065873,LOC685181,4.84e-05,2.2138506000000002
ENSRNOT00000073947,AABR06070882.1,2.02e-05,5.7572067
ENSRNOT00000074034,AABR06070908.1,8.170000000000001e-05,2.5607959
NM_001013984,Npl,1.87e-05,5.4181457
NM_001106024,Pde6b,4.13e-09,31.836707099999998
NM_080481,Atp5i,3.41e-07,2.280318
ENSRNOT00000070876,LOC100911107,4.9e-09,22.6874947
NM_001004214,Nqo2,1.28e-05,2.7539742
NM_001014011,Gramd3,3.6700000000000004e-05,2.1449125
NM_001008833,RT1-CE10,0.018466844,2.2703987
NM_001009651,Clic2,0.000312262,2.1849611
ENSRNOT00000000331,Cep57l1,4.4200000000000004e-05,2.123118
NM_001106396,Sesn1,8.62e-06,3.4990435
